Aazad College of Education ,Prakasam,
Abhinav Institute of Management & Technology ,Prakasam,
Abhyudaya Mahila Degree College ,Guntur,
A.B.M. College ,Prakasam,
A.B.R College of Education ,Prakasam,
A.C.College (Day) ,Guntur,
A.C.College of Law ,Guntur,
A.C.Evening College ,Guntur,
Acharya N.G.Ranga College of Education ,Guntur,
Adarsa College of Education ,Prakasam,
Adarsa Degree College for Women ,Guntur,
A.G.K.M.College ,Guntur,
A.L.College of Education ,Guntur,
Ali College of Education ,Guntur,
AL Momin College of Education ,Prakasam,
Alpha College of Education ,Prakasam,
Alpha College of Education,Andhra Pradesh,
Alpha Degree College ,Prakasam,
Aman Showkath B.Ed College ,Guntur,
A.M.G.College of Education ,Guntur,
A.M.G.Degree College for Women ,Guntur,
A.M Reddy College of Education ,Guntur,
A.M. Reddy Memorial College of Pharmacy ,Guntur,
Amrutha College of Education ,Prakasam,
Amrutha Degree College ,Prakasam,
Andhra Kesari College of Education ,Prakasam,
Andhra Kesari Vidya Kendram Degree College ,Prakasam,
Andhra Muslim College ,Guntur,
Andhra Muslim College of Education ,Guntur,
Anitha Venkateswara College of Eduation ,Guntur,
Annabattuni Satyanarayana Degree College ,Guntur,
Anniebesant College of Education ,Prakasam,
ANU PG Campus Ongole ,Prakasam,
A.P.Residential Degree College ,Guntur,
Asha College of Education ,Prakasam,
A.S.M & A.W. D Women's Degree College ,Guntur,
A.S.N Pharmacy College,Andhra Pradesh,
B.A & K.R College of Education ,Prakasam,
B.A & K.R Degree College ,Prakasam,
Balaji Degree College ,Guntur,
Bapatla College of Arts & Science ,Guntur,
Bapatla Engineering College ,Guntur,
Bapatla Womens Engineering College ,Guntur,
Bapuji College of Education ,Guntur,
B.B.H Degree College ,Prakasam,
B.G Degree College,Andhra Pradesh,
Bharathi Degree College ,Prakasam,
Bhashyam College of Education ,Guntur,
B.H.H Degree College for Women ,Guntur,
B.M.Degree College,Andhra Pradesh,
BMRM Jhansi B.Ed College ,Prakasam,
B.R College of Education ,Guntur,
B.S.S.B College ,Guntur,
B.V.S.P.M Degree College ,Prakasam,
Career Degree College ,Guntur,
Chaitanya Bharathi Degree College,Andhra Pradesh,
Chaitanya College of Education ,Prakasam,
Chakradhar Degree College,Andhra Pradesh,
Chalapathi Degree College,Andhra Pradesh,
Chalapathi Institute of Engineering & Technology,Andhra Pradesh,
Chalapathi Institute of Pharmaceutical Sciences,Andhra Pradesh,
Chebrolu Hanumaiah College of Pharmaceutical Sciences ,Guntur,
Chegireddy Linga Reddy Instt of Management ,Prakasam,
Chirala College of PG Studies,Andhra Pradesh,
Chiristian Women's College ,Guntur,
Christu Jayanthi Jubilee College (P.G.) ,Guntur,
C.I.L.For Rural Management ,Guntur,
C.R. College ,Guntur,
C.S.R. Sarma College ,Prakasam,
D.C.R.M Degree College ,Prakasam,
D.C.R.M P.G College,Andhra Pradesh,
Devathi Venkata Subbaiah Degree College ,Prakasam,
Devathi Venkata Subbiah College of Education ,Prakasam,
Don Bosco College (P.G.) ,Guntur,
Dr. B.R.Ambedkar Centenary Degree College ,Guntur,
Dr.Homi Jahangir Baba Degree College ,Guntur,
Dr. Jayapradamba Degree College ,Guntur,
Dr. K.R.R.M. Degree College ,Guntur,
Dr. K.S.P.R College of Education ,Guntur,
Dr.K.V.K. Sanskrit College ,Guntur,
D.R.N.S.C.V.S. College ,Guntur,
Dr. Samuel George College of Pharmaceutical Science ,Prakasam,
Dr. Zakir Hussain College of Education ,Guntur,
D.S.Govt. Degree College for Women,Andhra Pradesh,
Erigineni Tirupati Naidu & Lakshmamma Degree College ,Prakasam,
Fatima College of Education ,Guntur,
G.C.K.V.N. Degree College ,Guntur,
G.C & Y P N Degree College ,Prakasam,
Geetham Degree College ,Prakasam,
Geethanjali Degree College,Andhra Pradesh,
Geethika B.Ed College ,Guntur,
Goutham College of Education ,Prakasam,
Government Degree College,Andhra Pradesh,
Government Degree College,Andhra Pradesh,
Govt. Degree College,Andhra Pradesh,
Govt. Degree College for Women,Andhra Pradesh,
Govt. Degree College,Andhra Pradesh,
G.R.K Degree College,Andhra Pradesh,
G.R.R. & T.P.R. Degree College ,Prakasam,
G.S.R. Degree College ,Guntur,
G.V.& A.D.S.L. College of Education ,Prakasam,
G.V.R & S College of Education ,Guntur,
G V R & S Degree College for Women ,Guntur,
G.V.R.S Institute for Professional Studies ,Guntur,
G.V.S.M. GOVT. Degree College ,Prakasam,
Hazarath Ameeruddin College of Education ,Prakasam,
Hindu College,Andhra Pradesh,
Hindu College of Education ,Guntur,
Hindu College of Management,Andhra Pradesh,
Hindu College of Pharmacy ,Guntur,
H.M.K.S. & M.G.S. Memorial College of Education ,Guntur,
Ideal & S.K.C.M Degree College ,Prakasam,
Indira Priyadarsni Law College ,Prakasam,
J.C. College of Law ,Guntur,
J.K.C. College ,Guntur,
J.M.J. College for Women ,Guntur,
J.R.R Navodaya Degree College ,Guntur,
Kalikamba College of Education ,Prakasam,
Kalyani MCA College,Andhra Pradesh,
Kamala College of Education ,Prakasam,
Kamala Institute of Management Studies ,Prakasam,
Kasturibai College of Education ,Guntur,
K Chandrakala College (P.G.) ,Guntur,
K.C Reddy Institute of Pharmaceutical Sciences ,Guntur,
KC Reddy PG College,Andhra Pradesh,
K.L.N. Sanskrit College ,Guntur,
K.L.R. Degree College ,Prakasam,
Konijeti Rosaiah Siva Lakshmi College ,Guntur,
Krishnaveni Degree College ,Guntur,
Krishnaveni Degree College,Andhra Pradesh,
K R K Govt. Degree College ,Prakasam,
K.S.R & K.R.K College of Education ,Guntur,
K.S.R.N. Degree College,Andhra Pradesh,
K.V.R.,Andhra Pradesh,
Lakshmi Narsimha College of Education ,Guntur,
Magunta Subba Rami Reddy Degree College ,Prakasam,
Mahatma Gandhi College ,Guntur,
Malineni Lakshmaiah B.Ed College ,Prakasam,
