start_month,start_year,end_month,end_year,duration_in_months,company_name,designation,pos
7,2007,3,2019,140,Chief Hacker and Writer,catonmat,pos0
9,2015,3,2019,42,Hacker in Residence,Hackers/Founders,pos1
1,2015,3,2019,50,Technical Advisor,June, Inc.,pos2
1,2009,6,2009,5,Hacker Extraordinaire,Plurk,pos3
9,2014,3,2019,54,CEO,Browserling,pos4
3,2010,3,2019,108,Co-founder and CTO,Browserling,pos5
6,2017,3,2018,9,Agile and DevOps Coach,McKinsey & Company,pos0
1,2016,5,2017,16,Chief Agile Coach,Sapient Global Markets,pos1
5,2015,12,2015,7,Senior Agile Coach and Program Lead,CA Technologies,pos2
12,1997,5,1999,17,Database Engineer (Half time),Michigan State University,pos3
10,1995,4,1997,18,Technical Support Engineer,Technical Trade Links,pos4
3,2019,3,2019,0,java developers,any company,pos0
2,2015,12,2016,22,IT Delivery Lead,Fiserv,pos0
10,2015,1,2016,3,Senior QA Analyst,The Clearing House,pos1
10,2004,6,2006,20,Software Engineer,Infosys Technologies Ltd,pos2
1,2003,3,2019,194,Conference Speaker,Python & Open Source Communities,pos0
11,2016,3,2019,28,Open Source Development Manager,Blick Art Materials,pos1
6,2015,3,2019,45,Chair Of The Board Of Directors,Python Software Foundation,pos2
10,2014,3,2019,53,Co-Founder/Organizer,Trans*Code Hackday,pos3
11,2008,3,2019,124,Author - Quick Python Book,  2nd ed. & 3rd ed.,Manning Publications Co.,pos4
7,2015,10,2016,15,Senior Manager, Business Systems Lead,Gamut,pos5
12,2014,7,2016,19,Sprint Co-Chair,PyCon Organizing Committee,pos6
9,2014,7,2015,10,Advisory Board Member,TransTech Social Enterprises,pos7
1,2014,7,2015,18,Lead Architect/Developer,RazorOccam,pos8
1,2012,5,2014,28,Education Summit Organizer,PyCon Organizing Committee,pos9
1,2018,3,2019,14,Solution Architect,NudgeIT,pos0
11,2009,12,2017,97,Java/Web Technical Team Lead,Hewlett Packard Enterprise,pos1
9,2012,11,2013,14,Java Consultant,Time2Finish,pos2
10,2011,3,2012,5,Agile Consultant,Simplica,pos3
9,2005,10,2009,49,Web Technical Program/Project Manager,Hewlett-Packard,pos4
1,2003,1,2005,24,Java Team Lead/Senior Java Developer,Synygy,pos5
11,2002,11,2005,36,Java Team Lead,GREEF Software,pos6
7,2001,5,2002,10,Senior Java Developer,Mauve AG,pos7
11,2000,5,2001,6,Software Developer,Websci,pos8
3,2000,7,2000,4,Teaching Assistant,Alexandru Ioan Cuza University,pos9
1,2016,3,2019,38,Employee,Software Infrastructure TL,pos0
1,2010,1,2016,72,Senior Software Infrastructure Engineer,Radware,pos1
1,2017,3,2019,26,Senior Software Engineer,Crosscut,pos0
1,2014,1,2015,12,Senior Software Engineer,Xoom,pos1
1,2010,1,2013,36,Senior Software Engineer,Jawbone,pos2
1,2007,1,2008,12,Senior Software Engineer,EBay  StubHub.com,pos3
1,2006,1,2007,12,Software Engineer,Pay By Touch,pos4
1,2005,1,2006,12,Java Developer,Edusoft.com,pos5
1,2004,1,2005,12,Application Developer,First Data Corporation,pos6
1,2001,1,2004,36,Employee,Application Development Center,pos7
1,1999,1,2000,12,Research and Development Intern,NASA Ames Research Center,pos8
1,1999,1,2000,12,Java Programmer Intern,Sun Microsystems - Customer Environment Test,pos9
1,1999,1,2000,12,Java Development Engineer,Azerity,pos10
1,1998,1,1999,12,Employee,Space Station Biological Research Project,pos11
1,2015,1,2018,36,Founder, CTO,CloudWok,pos0
3,2019,3,2019,0,Founder, CTO,WeAdvise,pos1
1,2014,1,2018,48,Researcher (PostDoc),TU Berlin,pos2
1,2011,1,2012,12,Research Intern,Yahoo Labs,pos3
1,2010,1,2014,48,Research Associate & Ph.D. student,Karlsruhe Institute of Technology,pos4
1,2009,1,2010,12,Research Intern,IBM TJ Watson Research Center,pos5
3,2019,3,2019,0,Employee,Finconomy AG,pos6
1,2014,3,2019,62,Backend developer,Self Employed,pos0
1,2013,1,2014,12,Founder, Co-founder,Self-Employed,pos1
1,2013,1,2014,12,Team leader, Java team,HYS Enterprise,pos2
1,2008,1,2012,48,Senior Consultant,Ericsson,pos3
1,2003,1,2007,48,Senior software engineer, R&D,LHS,pos4
10,2016,3,2019,29,Software Developer,New Leaf Technologies,pos0
1,2013,8,2015,31,Graduate Assistant,Louisiana State University,pos1
8,2012,12,2012,4,Research Intern,Technology Engineers,pos2
1,2018,3,2019,14,Software Developer,MPC Moving Picture Company,pos0
1,2017,1,2018,12,Technical Business Developer,Jinn,pos1
1,2017,1,2018,12,Full Stack Web Developer,Freelancer, Self- Employed,pos2
1,2017,1,2018,12,Full Stack Software Engineer,3DCompare.com,pos3
